0,1534.4704901633877,
1,1412.9889963321107,
2,1151.2610870290096,
3,1308.0273424474824,
4,1269.812270756919,
5,1283.2007335778592,
6,1311.3127709236412,
7,1379.4351450483493,
8,1539.8146048682895,
9,1577.351117039013,
10,1566.7555851950651,
11,1584.588196065355,
12,1288.2690896965655,
13,1409.6615538512838,
14,1516.6282094031344,
15,1542.3674558186062,
16,1399.7842614204735,
17,1394.1190396798934,
18,1370.6378792930977,
19,1445.357785928643,
20,1521.7195731910638,
21,1467.3124374791598,
22,1545.7479159719906,
23,1344.2290763587862,
24,1288.62054018006,
25,1292.97765921974,
26,1156.6038679559854,
27,1236.1213737912637,
28,1201.5775258419474,
29,1326.2087362454151,
30,1410.0590196732244,
31,1341.0396798932977,
32,1252.1687229076358,
33,1204.3101033677892,
34,1175.9319773257753,
35,1280.069689896632,
36,1235.9786595531843,
37,1267.898632877626,
38,1323.0043347782594,
39,1244.9286428809603,
40,1267.327442480827,
41,1364.8759586528843,
42,1441.8239413137712,
43,1350.3204401467156,
44,1197.4511503834613,
45,1246.7049016338779,
46,1211.6608869623208,
47,1237.7415805268422,
48,1181.5021673891297,
49,1263.5568522840947,
50,1256.5478492830944,
51,1288.0603534511504,
52,1219.5458486162054,
53,1195.4961653884627,
54,1265.729243081027,
55,1231.4214738246083,
56,1145.04468156052,
57,1209.569856618873,
58,1223.3654551517172,
59,1164.5038346115373,
60,1198.0226742247416,
61,1189.5775258419474,
62,1125.902634211404,
63,1168.2230743581194,
64,1100.6242080693564,
65,1133.1400466822274,
66,1129.3897965988663,
67,1191.1583861287095,
68,1232.1417139046348,
69,1227.6405468489497,
70,1255.6962320773591,
71,1316.3877959319773,
72,1298.7645881960655,
73,1235.7049016338779,
74,1237.5761920640214,
75,1230.6635545181728,
76,1179.6208736245414,
77,1237.3681227075692,
78,1249.0893631210404,
79,1171.5208402800934,
80,1137.5655218406134,
81,1165.7482494164722,
82,1167.5281760586863,
83,1186.8659553184395,
84,1215.537512504168,
85,1176.9146382127376,
86,1166.513837945982,
87,1244.1240413471157,
88,1191.102034011337,
89,1257.43747915972,
90,1310.401133711237,
91,1296.8179393131043,
92,1325.5465155051684,
93,1232.9363121040346,
94,1257.6555518506168,
95,1282.2244081360454,
96,1286.914971657219,
97,1218.6945648549518,
98,1154.843947982661,
99,1160.8586195398466,
